ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
GO:0006397,mRNA processing,245/1023,312/5514,0.7852564102564102,4.2325550793292726,28.054229288638872,7.452746407981412e-127,3.139842061682569e-123,2.850871625958364e-123,29890/79872/1659/10569/57060/2483/10180/10212/10949/10929/51163/55696/9589/4686/9716/55192/3189/56931/10189/8449/9939/91746/9984/10713/10285/11325/51605/8559/51747/3550/55692/23020/55421/55677/10657/6635/5394/79066/3187/1665/6732/55131/6830/56949/63935/51692/8241/5411/5936/8161/51729/10250/9775/55015/23517/55660/24148/10915/140890/9343/11051/23210/54623/58155/53981/54888/6426/4841/3609/10594/6421/4236/55280/7072/1479/151987/56339/8731/1660/11052/3190/29894/10946/51340/23759/29896/58517/10450/64783/22938/54517/6627/9129/3178/80145/9295/8189/65109/9092/10521/10291/11338/10236/9416/4869/55339/55197/10914/1655/10084/9410/51639/79811/55082/1025/10992/51631/3191/8106/6294/57461/57187/1477/3192/22985/81608/9879/1996/23450/220988/10465/83759/6626/23451/10284/6432/8175/202559/8563/9967/51691/6636/51503/25962/54890/26121/55596/10147/6431/11168/79665/4670/9584/9733/7307/4691/10978/27339/55234/7919/56259/6427/58490/22916/23091/25804/4904/6633/79171/10492/3183/4809/6634/8227/27316/6428/6434/10921/51202/10286/79882/10283/22803/79869/79228/9924/23283/10421/92906/10262/50628/6629/6632/7536/6429/10898/6625/9785/9904/11157/22913/23398/27336/84991/26993/3181/10772/26528/23248/8732/51690/9128/10432/10625/23524/57819/10658/57703/57805/27238/84321/11100/6631/8896/84844/6430/9667/5511/8683/51329/23076/4928/8570/23435/988/25929/8899/22827/9406/3185/80324/27258/79577/1478/5935,245,MB_vs_Glial,Up,GO_BP
GO:0016071,mRNA metabolic process,285/1023,445/5514,0.6404494382022472,3.452041253418564,25.745831226886708,6.596122502010022e-111,1.3894732050484112e-107,1.2615952195949697e-107,29890/79872/1659/10569/5599/55802/155435/57060/2483/10180/10212/10949/4292/10929/6878/51163/55696/22894/143684/9589/4686/9716/5469/3182/55192/3189/56931/10189/8449/9939/91746/9984/10713/10285/11325/51605/8559/80153/51747/3550/55692/23020/55421/55677/10657/6908/6635/5394/79066/51010/3187/5430/1665/51441/6732/55131/6830/56949/63935/51692/8241/5411/5936/1385/149986/8161/51729/10250/5393/9775/55015/23517/55660/24148/10915/140890/9343/11051/23210/54623/58155/2521/53981/54888/6426/4841/3609/10594/6421/4236/55280/7072/1479/151987/56339/8731/1660/11052/3190/29894/10946/51340/23759/29896/58517/10450/64783/22938/54517/6627/9129/3178/80145/9295/8189/65109/9092/6877/10521/10291/11338/10236/9416/4869/55339/55197/10914/1655/10084/9410/51639/79811/55082/1025/10992/51631/3184/3191/8106/11340/25904/6294/57461/57187/345630/1477/3192/22985/81608/9879/9567/1996/23450/328/220988/10465/83759/6626/23451/10284/6432/8175/202559/8563/9967/51691/6636/51503/25962/54890/26121/55596/10147/6431/11168/79665/4670/9584/9733/7307/23019/4691/10978/27339/1736/55234/7919/56259/6427/58490/22916/23091/25804/4904/6633/6596/79171/10492/3183/4809/6634/8227/27316/6428/6434/10921/51202/10286/79882/9513/10283/22803/79869/79228/9924/23283/10421/23404/92906/10262/50628/6629/6632/7536/5073/6429/10898/6625/9785/9904/11157/22913/29883/23398/27336/84991/26993/3181/23016/5436/10772/26528/23248/8732/51690/9128/10432/10625/23524/57819/10658/57703/57805/1994/27238/84321/11100/6631/8896/84844/6430/9125/9667/5511/8683/54512/51329/23076/4928/8570/23435/988/51154/25929/8899/22827/9406/118460/8148/3185/80324/27258/79577/1478/5935,285,MB_vs_Glial,Up,GO_BP
GO:0008380,RNA splicing,222/1023,290/5514,0.7655172413793103,4.126160380220447,26.10170969333424,5.840909331620305e-110,8.202583671372114e-107,7.447671758283577e-107,29890/1659/10569/57060/2483/10180/10212/10929/51163/55696/9589/4686/9716/55192/3189/10189/8449/9939/10137/91746/9984/10713/10285/11325/8559/51747/3550/55692/23020/55677/10657/6635/5394/79066/3187/5430/1665/6732/55131/6830/56949/8295/8241/5411/5936/27332/8161/51729/10250/57018/9775/55015/23517/55660/24148/10915/140890/9343/23210/58155/2521/6426/4841/3609/10594/6421/4236/112869/55280/7072/151987/56339/1660/3190/10946/51340/23759/29896/58517/10450/64783/22938/54517/6627/9129/3178/80145/9295/65109/9092/10521/10291/11338/10236/9416/4869/1655/10084/9410/51639/55082/10992/51631/3191/57461/57187/3192/22985/9879/1996/23450/220988/10465/83759/6626/23451/10284/6432/8175/202559/8563/9967/51691/6636/51503/25962/26121/55596/10147/6431/11168/79665/4670/9584/9733/7307/4691/10978/27339/55234/7919/56259/6427/22916/3276/23091/25804/4904/6633/79171/10492/3183/4809/6634/8227/27316/6428/6434/10921/51202/10286/79882/10283/79228/10421/92906/10262/50628/6629/6632/7536/6429/6625/9785/9904/11157/22913/23398/27336/84991/26993/3181/10772/26528/51690/9128/10432/10625/23524/57819/10658/57703/57805/27238/84321/11100/6631/8896/56943/84844/6430/389677/5511/10199/8683/51329/23076/4928/8570/23435/988/25929/8899/339487/22827/9406/8148/23326/3185/80324/27258/5935,222,MB_vs_Glial,Up,GO_BP
GO:0000375,"RNA splicing, via transesterification reactions",173/1023,217/5514,0.7972350230414746,4.297120153519738,23.64884528146854,9.00278701102523e-90,9.482185419362323e-87,8.609507367912023e-87,29890/1659/10569/57060/2483/10180/10212/10929/51163/55696/9589/4686/9716/55192/3189/8449/9939/91746/10713/10285/11325/8559/51747/3550/55692/23020/10657/6635/5394/79066/3187/1665/6732/56949/8241/5411/5936/8161/10250/9775/55015/23517/55660/24148/9343/23210/58155/6426/3609/10594/6421/4236/55280/7072/56339/1660/3190/10946/51340/29896/58517/10450/64783/22938/6627/9129/3178/65109/9092/10521/10291/11338/10236/9416/4869/1655/10084/9410/51639/55082/10992/51631/3191/57461/3192/22985/9879/23450/220988/10465/83759/6626/23451/10284/6432/8175/202559/9967/51691/6636/51503/26121/55596/6431/11168/79665/4670/9584/9733/7307/4691/27339/55234/7919/56259/6427/22916/25804/6633/79171/10492/3183/4809/6634/27316/6428/6434/10921/10286/79882/10283/10421/10262/50628/6629/6632/7536/6429/6625/9785/9904/11157/22913/23398/27336/84991/3181/10772/26528/51690/9128/10432/23524/57819/10658/57703/27238/11100/6631/8896/84844/6430/10199/8683/4928/8570/988/25929/8899/22827/3185/27258/5935,173,MB_vs_Glial,Up,GO_BP
GO:0006325,chromatin organization,220/1023,331/5514,0.6646525679758308,3.5824968326673816,23.12722233771601,2.0472092160968572e-88,1.724978485483212e-85,1.5662227981675748e-85,8545/22880/29890/56916/23774/23411/8479/8467/7468/2956/84733/3148/53615/23028/3066/9031/79677/54780/6045/4171/125476/2186/6599/23234/4678/84864/339287/79813/57634/8726/23013/9611/10951/6597/55729/57459/11335/11198/8019/114991/51412/55929/51773/54892/6749/1788/142/5925/23310/4297/10927/29128/23168/222229/8805/10428/7290/7913/6602/51317/10155/10445/57492/11143/25942/3009/54665/58499/11177/114049/5928/57332/8089/5929/10919/55183/5111/7443/91746/10902/7153/29028/11011/5757/81611/9730/2959/55257/22976/546/3054/54969/55677/1107/6418/4796/6605/1786/64426/6732/6830/8295/8208/6598/4152/9739/1108/11091/56254/9112/55023/196528/9070/23210/10363/3146/79697/8971/9219/9646/6421/9869/4001/9188/112869/56339/983/57050/3007/26097/1660/3190/23186/10514/64783/23347/6117/9416/4869/8520/9810/84717/5885/1025/9329/6294/4288/345630/3192/25836/25842/328/23451/23468/23198/23515/115426/6827/3151/11168/30827/1387/9656/10038/9733/6419/23613/10541/84656/7158/7150/55193/55506/1106/7528/6601/3276/8359/3006/6596/9555/3183/4221/201161/3068/317772/51780/8841/54815/79718/23476/26155/5977/86/27336/6015/10933/8289/3008/10432/2091/6594/7874/9678/56943/5591/3150/54971/10664/1017/5987/23326/9274/3020/3930/25879/83743/23170/6603/8815,220,MB_vs_Glial,Up,GO_BP
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",170/1023,214/5514,0.794392523364486,4.281798996903006,23.36905847955346,1.094772762027364e-87,6.588968066316122e-85,5.98256273264277e-85,29890/1659/10569/57060/2483/10180/10212/10929/51163/55696/9589/4686/9716/55192/3189/8449/9939/91746/10713/11325/8559/51747/3550/55692/23020/10657/6635/5394/79066/3187/1665/6732/56949/8241/5411/5936/8161/10250/9775/55015/23517/55660/24148/9343/23210/58155/6426/3609/10594/6421/4236/55280/7072/56339/1660/3190/10946/51340/29896/58517/10450/64783/22938/6627/9129/3178/65109/9092/10521/10291/11338/10236/9416/4869/1655/10084/9410/51639/55082/10992/51631/3191/57461/3192/22985/9879/23450/220988/10465/83759/6626/23451/10284/6432/8175/202559/9967/51691/6636/51503/26121/55596/6431/11168/79665/4670/9584/9733/7307/4691/27339/55234/7919/56259/6427/22916/25804/6633/79171/10492/3183/4809/6634/27316/6428/6434/10921/10286/79882/10283/10421/10262/50628/6629/6632/7536/6429/6625/9785/9904/11157/22913/23398/27336/84991/3181/10772/26528/51690/9128/10432/23524/57819/10658/57703/27238/11100/6631/8896/84844/6430/8683/4928/988/25929/8899/22827/3185/27258/5935,170,MB_vs_Glial,Up,GO_BP
GO:0000398,"mRNA splicing, via spliceosome",170/1023,214/5514,0.794392523364486,4.281798996903006,23.36905847955346,1.094772762027364e-87,6.588968066316122e-85,5.98256273264277e-85,29890/1659/10569/57060/2483/10180/10212/10929/51163/55696/9589/4686/9716/55192/3189/8449/9939/91746/10713/11325/8559/51747/3550/55692/23020/10657/6635/5394/79066/3187/1665/6732/56949/8241/5411/5936/8161/10250/9775/55015/23517/55660/24148/9343/23210/58155/6426/3609/10594/6421/4236/55280/7072/56339/1660/3190/10946/51340/29896/58517/10450/64783/22938/6627/9129/3178/65109/9092/10521/10291/11338/10236/9416/4869/1655/10084/9410/51639/55082/10992/51631/3191/57461/3192/22985/9879/23450/220988/10465/83759/6626/23451/10284/6432/8175/202559/9967/51691/6636/51503/26121/55596/6431/11168/79665/4670/9584/9733/7307/4691/27339/55234/7919/56259/6427/22916/25804/6633/79171/10492/3183/4809/6634/27316/6428/6434/10921/10286/79882/10283/10421/10262/50628/6629/6632/7536/6429/6625/9785/9904/11157/22913/23398/27336/84991/3181/10772/26528/51690/9128/10432/23524/57819/10658/57703/27238/11100/6631/8896/84844/6430/8683/4928/988/25929/8899/22827/3185/27258/5935,170,MB_vs_Glial,Up,GO_BP
GO:0006338,chromatin remodeling,168/1023,256/5514,0.65625,3.537206744868035,19.839276698951494,3.073184773610692e-65,1.6184159314027307e-62,1.4694675614870073e-62,8545/22880/29890/56916/23774/23411/8467/7468/3148/53615/23028/3066/9031/6045/4171/125476/2186/6599/23234/4678/84864/339287/79813/8726/23013/10951/6597/55729/57459/11335/11198/8019/51412/55929/51773/6749/1788/142/5925/4297/10927/29128/10428/7290/7913/6602/10155/10445/57492/11143/25942/3009/54665/11177/5928/8089/5929/10919/55183/7443/91746/29028/9730/2959/22976/546/3054/54969/55677/1107/6418/6605/1786/64426/6830/8295/8208/6598/4152/9739/1108/11091/56254/9112/196528/9070/23210/3146/79697/8971/9219/9646/6421/9869/4001/9188/112869/56339/983/3007/26097/3190/10514/64783/23347/9416/4869/8520/84717/1025/9329/345630/3192/25836/25842/328/23451/23468/115426/6827/11168/1387/10038/9733/6419/10541/84656/7158/7150/55193/55506/1106/7528/6601/3276/8359/3006/9555/3183/4221/201161/3068/317772/51780/8841/54815/23476/26155/5977/86/6015/8289/3008/10432/2091/6594/7874/5591/10664/1017/5987/23326/9274/3020/3930/25879/83743/6603,168,MB_vs_Glial,Up,GO_BP
GO:0006259,DNA metabolic process,213/1023,401/5514,0.5311720698254364,2.8630330332526452,18.48907273344012,7.820661874112693e-60,3.660938719515197e-57,3.3240099708216997e-57,56916/23411/5599/8467/7468/2956/3149/79621/58525/3148/4175/23028/4176/3980/23244/26168/79677/54780/4172/4174/4436/4171/125476/2237/6599/4678/7515/1602/57634/5514/23126/6597/4173/3978/11198/7155/51412/55929/4292/5983/6878/6749/142/9319/29128/222229/7913/5982/6602/10155/10445/57492/11143/25942/3009/3838/3182/11177/5928/57332/8089/10919/55183/5111/10902/7153/4999/56252/9730/55257/3835/22976/546/8243/29089/55671/54969/23595/6418/4796/5394/4521/51010/6605/2547/5422/5984/6830/56949/259282/8295/8208/6598/7520/1108/9112/196528/3146/2521/5558/79697/8971/4841/6421/9126/112869/151987/983/5981/3007/1660/3178/23347/6117/4781/6877/10714/4869/55339/5001/84717/5885/55651/55270/1025/3184/10535/3192/23063/23450/25836/25842/5763/328/23198/23560/56897/79077/57418/1387/9656/10038/6419/23613/54386/7158/26057/7150/27339/55193/1736/4437/5985/5395/7528/6601/3276/3006/8099/6596/10492/9555/3183/4221/7014/26354/1022/79892/5073/56893/5425/1854/4774/5977/4931/86/27336/3181/10933/8289/3008/54433/7874/56943/5591/3150/2021/56647/54512/23583/55226/7298/64318/6240/5965/84337/988/5887/55505/1017/118460/23326/9274/55512/4784/83743/6119/4913/6603/2071/8815/1454/7037,213,MB_vs_Glial,Up,GO_BP
GO:0022613,ribonucleoprotein complex biogenesis,177/1023,302/5514,0.5860927152317881,3.159056922568993,18.417286581999353,8.268893355349226e-58,3.4836847706086285e-55,3.1630693108777993e-55,10569/2483/84864/55319/22894/4686/114049/55695/51575/79707/91746/10713/11325/8559/51747/55692/23020/23195/6635/5394/79066/51010/51441/6732/56949/8241/7520/8161/51729/5393/9775/54475/55015/23517/24148/11056/79050/9790/58155/6426/10594/57647/9188/57050/1660/10946/51340/10514/9136/6627/9129/27043/81887/9092/10521/10291/11338/9416/4869/23246/51639/55651/10992/51631/11340/57461/30836/345630/9879/9221/23450/22984/23451/8175/23560/6636/26121/55646/57418/6431/11168/27340/9733/23029/10978/27339/1736/7919/317781/10969/25804/1662/54606/6633/84916/4809/6634/55720/51202/117246/22803/55272/55661/10421/23404/10262/50628/6629/6632/7536/10436/51602/8886/5822/11157/51096/10528/26155/55299/4931/27336/23016/10772/64794/8568/54433/4839/6838/23481/57819/10658/10607/2091/6631/11103/51491/134430/55813/5591/84844/6430/10813/23160/10199/8683/27292/55127/54512/55226/23076/90441/285855/84549/79954/10885/51154/25929/705/8899/22827/55505/10556/25926/118460/10799/56902/55003/55781/25879/65095/64216/65083/83743/79039/84154/64745/84128,177,MB_vs_Glial,Up,GO_BP
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,224/1023,461/5514,0.48590021691973967,2.61901641847062,17.32955265979564,5.371436992691299e-54,2.0572603682007674e-51,1.8679236393722663e-51,283248/8545/23411/51222/8467/7468/2956/7182/84733/1912/3148/53615/23028/3066/3980/23244/26168/6045/57060/4436/2186/84864/7515/1602/79813/5514/8726/23013/9611/10951/6597/55729/57459/11335/7750/51592/55929/10949/51773/4292/1788/142/5925/29128/23168/23309/8805/7290/57507/51317/10155/143684/10445/2551/25942/3009/6664/5469/3182/5928/57332/51523/55192/57466/10919/55183/5111/4150/84324/4999/9730/51538/3054/10657/1107/6418/5394/79066/6605/2547/1786/64426/8241/84295/7520/4152/1385/9839/9745/6829/1108/11091/9112/7936/10915/10363/57727/54623/3146/359948/2521/54888/23211/79697/6426/8971/4841/9219/3609/55758/9646/6421/9188/112869/5981/3007/1660/3190/9774/23186/10514/22938/3178/23347/4781/81857/11338/4869/1655/4089/1025/3184/3191/51808/345630/3192/22985/23063/1996/25836/328/3516/10284/6432/23468/23515/23560/9967/7541/6827/55646/6431/1387/23613/54386/23019/7158/1736/4437/55506/51497/55749/6427/1021/7528/6601/3276/4904/7469/3006/79171/10492/9555/3183/27316/26145/4221/10921/3068/79882/5771/7014/8841/7536/5073/56893/54815/6429/79718/1488/26155/22913/57215/5977/29883/9612/6015/10772/3008/25920/49854/57805/1994/9678/55269/8683/23532/7090/55226/10664/23435/80335/56257/1017/5987/8148/1810/10589/79577/1487/4784/79039/2274/29114,224,MB_vs_Glial,Up,GO_BP
GO:0051253,negative regulation of RNA metabolic process,203/1023,405/5514,0.5012345679012346,2.7016690199485898,16.97832873417464,2.2922505115790296e-51,8.047709504402042e-49,7.307051192173855e-49,283248/8545/23411/51222/8467/7468/7182/84733/1912/3148/53615/23028/3066/6045/57060/2186/84864/1602/79813/5514/8726/23013/9611/10951/6597/55729/57459/11335/7750/51592/55929/10949/51773/1788/142/5925/29128/23168/23309/8805/7290/57507/51317/10155/143684/2551/25942/3009/6664/5469/3182/5928/57332/51523/55192/57466/10919/55183/5111/4150/84324/4999/9730/51538/3054/10657/1107/6418/79066/6605/2547/1786/64426/8241/84295/7520/4152/1385/9839/9745/6829/1108/11091/9112/7936/10915/10363/57727/54623/3146/359948/2521/54888/23211/79697/6426/4841/9219/3609/55758/9646/6421/9188/112869/5981/3007/1660/3190/9774/23186/10514/22938/4781/81857/11338/4869/1655/4089/1025/3184/3191/51808/345630/3192/22985/1996/25836/328/3516/10284/6432/23468/23515/9967/7541/6827/55646/6431/1387/23613/23019/1736/55506/51497/55749/6427/1021/7528/6601/4904/7469/3006/79171/10492/9555/3183/27316/26145/4221/10921/3068/79882/5771/8841/7536/5073/54815/6429/79718/1488/26155/22913/57215/5977/29883/9612/6015/10772/3008/25920/49854/57805/1994/9678/55269/8683/23532/7090/10664/23435/80335/56257/1017/5987/8148/1810/10589/79577/1487/4784/79039/2274/29114,203,MB_vs_Glial,Up,GO_BP
GO:0016072,rRNA metabolic process,117/1023,166/5514,0.7048192771084337,3.79899657280147,17.475153409680164,4.218763318702812e-50,1.367203835514996e-47,1.2413753765316615e-47,2483/6597/10927/22894/9330/114049/55695/51575/79707/2976/2975/5394/79066/51010/51441/6598/51729/5393/9775/79002/23517/11056/79050/9790/9328/57647/9188/57050/9136/27043/81887/9092/10521/23246/55651/9329/11340/345630/9221/22984/23560/84365/55646/57418/27340/23029/4691/7150/1736/55506/317781/10969/1662/54606/84916/6949/9555/4809/55720/51202/117246/22803/55272/55661/23404/50628/10436/51602/8886/5822/11157/51096/10528/55299/4931/23016/8568/54433/4839/23481/10849/5434/10607/2091/11103/134430/55813/5591/10813/23160/10199/27292/55127/54512/55226/23076/285855/84549/79954/10885/51154/705/55505/10556/25926/118460/10799/84172/55003/55781/25879/65095/64216/65083/79039/84154/84128,117,MB_vs_Glial,Up,GO_BP
GO:0006281,DNA repair,151/1023,261/5514,0.578544061302682,3.1183694565229603,16.733182388572043,5.3078195173439786e-48,1.597274544755013e-45,1.450271889175039e-45,56916/23411/5599/8467/7468/2956/79621/3148/4175/23028/4176/3980/26168/79677/54780/4172/4174/4436/4171/125476/2237/6599/7515/57634/23126/6597/4173/3978/11198/7155/51412/55929/4292/5983/6878/6749/142/9319/29128/7913/5982/6602/10155/10445/57492/11143/5928/57332/8089/55183/5111/10902/9730/55257/3835/22976/546/8243/29089/55671/54969/4796/5394/4521/6605/2547/5422/5984/56949/259282/8295/8208/6598/7520/1108/9112/196528/3146/2521/79697/4841/6421/9126/112869/151987/983/5981/1660/23347/6117/6877/10714/4869/55339/84717/5885/1025/10535/23450/25836/25842/328/23198/56897/1387/9656/10038/6419/23613/54386/7158/27339/55193/4437/5985/5395/7528/6601/3276/6596/9555/4221/7014/1022/56893/5425/5977/86/27336/10933/8289/7874/56943/5591/3150/56647/23583/6240/5965/84337/988/5887/1017/23326/9274/6119/4913/6603/2071/8815/1454,151,MB_vs_Glial,Up,GO_BP
GO:0006364,rRNA processing,99/1023,142/5514,0.6971830985915493,3.757837346660609,15.889312417780426,1.0938580746393158e-41,3.072282712303625e-39,2.7895299952556303e-39,2483/22894/114049/55695/51575/79707/5394/79066/51010/51441/51729/5393/9775/23517/11056/79050/9790/57647/9188/57050/9136/27043/81887/9092/10521/23246/55651/11340/345630/9221/22984/23560/55646/57418/27340/23029/1736/317781/10969/1662/54606/84916/4809/55720/51202/117246/22803/55272/55661/23404/50628/10436/51602/8886/5822/11157/51096/10528/55299/4931/23016/8568/54433/4839/23481/10607/2091/11103/134430/55813/5591/10813/23160/10199/27292/55127/54512/55226/23076/285855/84549/79954/10885/51154/705/55505/10556/25926/118460/10799/55003/55781/25879/65095/64216/65083/79039/84154/84128,99,MB_vs_Glial,Up,GO_BP
GO:0045892,negative regulation of DNA-templated transcription,169/1023,341/5514,0.49560117302052786,2.671304856339385,15.206242461523587,1.752326990728846e-41,4.6140960074628926e-39,4.189444923887255e-39,283248/8545/23411/51222/8467/7468/7182/84733/1912/3148/53615/23028/3066/6045/2186/84864/1602/79813/5514/8726/23013/9611/10951/6597/55729/57459/11335/7750/51592/55929/51773/1788/142/5925/29128/23168/23309/8805/7290/57507/51317/10155/2551/25942/3009/6664/5469/5928/57332/51523/55192/57466/10919/55183/5111/4150/84324/4999/9730/3054/10657/1107/6418/6605/2547/1786/64426/8241/84295/7520/4152/1385/9839/9745/6829/1108/11091/9112/7936/10915/10363/57727/54623/3146/359948/23211/79697/4841/9219/3609/55758/9646/6421/9188/112869/5981/3007/3190/9774/23186/10514/22938/4781/81857/1655/4089/1025/3191/3192/25836/328/3516/10284/23468/23515/7541/6827/55646/1387/23613/23019/55506/51497/55749/6427/1021/7528/6601/4904/7469/3006/9555/26145/4221/3068/5771/8841/7536/54815/79718/1488/26155/22913/57215/5977/29883/9612/6015/3008/25920/49854/57805/9678/55269/23532/7090/10664/80335/56257/1017/5987/1810/10589/79577/1487/4784/79039/2274/29114,169,MB_vs_Glial,Up,GO_BP
GO:0006974,DNA damage response,180/1023,377/5514,0.47745358090185674,2.573488802632295,15.105664493510236,2.1706372322103837e-41,5.379349799589615e-39,4.884269784428814e-39,22880/56916/23411/5599/8467/7468/2956/79621/3148/4175/23028/4176/9031/3980/26168/79677/54780/4172/4174/4436/4171/125476/2237/6599/7515/57634/5514/23126/10951/6597/4173/11335/3978/11198/7155/51412/55929/4292/5983/6878/6749/142/9319/29128/7913/5982/6602/10155/10445/57492/11143/5928/57332/8089/5929/55183/5111/7443/10902/7153/11011/9730/55602/55257/3835/22976/546/8243/29089/55671/54969/4796/5394/4521/6605/2547/5422/5984/56949/259282/8295/8208/6598/7520/9739/23517/1108/9112/196528/9070/3146/2521/79697/4841/6421/9126/112869/151987/56339/983/5981/1660/3190/9774/22938/23347/6117/6877/10714/4869/55339/1655/84717/5885/1025/10535/23450/25836/25842/328/23468/23198/56897/1387/9656/10038/6419/23613/54386/7158/27339/55193/4437/5985/1106/5395/1021/7528/6601/3276/6596/9555/4221/7014/8841/1022/56893/5425/23476/5977/86/27336/10933/8289/57805/7874/56943/5591/3150/2021/56647/23583/6240/5965/25896/84337/988/5887/1017/23326/9274/836/84446/6119/4913/6603/84259/2071/8815/1454,180,MB_vs_Glial,Up,GO_BP
GO:1902679,negative regulation of RNA biosynthetic process,169/1023,342/5514,0.49415204678362573,2.6634940234261117,15.158817532725678,2.896600325802082e-41,6.779653984780095e-39,6.155699171909221e-39,283248/8545/23411/51222/8467/7468/7182/84733/1912/3148/53615/23028/3066/6045/2186/84864/1602/79813/5514/8726/23013/9611/10951/6597/55729/57459/11335/7750/51592/55929/51773/1788/142/5925/29128/23168/23309/8805/7290/57507/51317/10155/2551/25942/3009/6664/5469/5928/57332/51523/55192/57466/10919/55183/5111/4150/84324/4999/9730/3054/10657/1107/6418/6605/2547/1786/64426/8241/84295/7520/4152/1385/9839/9745/6829/1108/11091/9112/7936/10915/10363/57727/54623/3146/359948/23211/79697/4841/9219/3609/55758/9646/6421/9188/112869/5981/3007/3190/9774/23186/10514/22938/4781/81857/1655/4089/1025/3191/3192/25836/328/3516/10284/23468/23515/7541/6827/55646/1387/23613/23019/55506/51497/55749/6427/1021/7528/6601/4904/7469/3006/9555/26145/4221/3068/5771/8841/7536/54815/79718/1488/26155/22913/57215/5977/29883/9612/6015/3008/25920/49854/57805/9678/55269/23532/7090/10664/80335/56257/1017/5987/1810/10589/79577/1487/4784/79039/2274/29114,169,MB_vs_Glial,Up,GO_BP
GO:0051052,regulation of DNA metabolic process,124/1023,215/5514,0.5767441860465117,3.108668076109937,15.051881096189188,4.577826208063431e-39,1.0150727270826966e-36,9.216521019447375e-37,56916/23411/8467/7468/2956/58525/4175/23028/4176/3980/23244/26168/79677/54780/4172/4174/4436/4171/125476/6599/7515/1602/57634/5514/6597/4173/7155/51412/55929/4292/5983/6878/142/7913/5982/6602/10155/10445/57492/11143/3009/3838/11177/57332/8089/10919/55183/5111/10902/56252/55257/22976/546/55671/23595/5394/51010/6605/5984/6830/8295/6598/7520/196528/3146/2521/79697/8971/9126/112869/151987/983/3007/1660/3178/23347/6877/5001/84717/1025/3184/3192/23063/23450/23560/56897/1387/9656/6419/54386/7158/26057/55193/1736/4437/5985/5395/7528/6601/3276/3006/3183/7014/26354/5073/56893/5977/4931/86/3181/10933/8289/3008/7874/56943/5591/2021/55226/1017/118460/23326/9274/6603/7037,124,MB_vs_Glial,Up,GO_BP
GO:0042254,ribosome biogenesis,116/1023,193/5514,0.6010362694300518,3.23960311792503,15.115181763814892,5.325920365793521e-39,1.1219051250544054e-36,1.018652347857561e-36,2483/84864/55319/22894/114049/55695/51575/79707/23195/5394/79066/51010/51441/8241/7520/51729/5393/9775/54475/23517/11056/79050/9790/57647/9188/57050/10514/9136/27043/81887/9092/10521/4869/23246/55651/11340/30836/345630/9221/22984/23560/55646/57418/27340/23029/1736/317781/10969/1662/54606/84916/4809/55720/51202/117246/22803/55272/55661/23404/50628/10436/51602/8886/5822/11157/51096/10528/26155/55299/4931/23016/64794/8568/54433/4839/6838/23481/10607/2091/11103/51491/134430/55813/5591/10813/23160/10199/27292/55127/54512/55226/23076/90441/285855/84549/79954/10885/51154/705/55505/10556/25926/118460/10799/56902/55003/55781/25879/65095/64216/65083/83743/79039/84154/64745/84128,116,MB_vs_Glial,Up,GO_BP
GO:1902680,positive regulation of RNA biosynthetic process,206/1023,481/5514,0.4282744282744283,2.3084117277665666,14.333880740225101,1.3537274837438452e-38,2.7158351852442e-36,2.4658875568547036e-36,56916/23411/51222/8467/7545/7182/6613/4899/3148/53615/23028/3066/9031/125476/2186/4802/6599/339287/64641/57634/5514/7343/23126/6597/2969/55729/57459/11198/8019/7155/51412/55929/51773/6878/142/5925/4297/10927/29128/8805/6925/7913/23060/6602/10155/10445/57492/11143/2551/4686/6664/3838/5469/9878/3182/58499/5928/8089/7443/10902/4150/7153/29028/5757/55257/22976/546/9439/7716/5015/3054/1107/6908/6605/2547/54870/6830/8295/6598/9862/1385/9839/5393/6829/1108/11091/56254/9112/24148/55023/7936/10915/10153/23210/54623/3146/2521/3608/9219/3609/9646/6421/9188/112869/5981/1660/3190/9774/10514/64783/22938/27043/4781/6877/81857/10521/4869/10084/7337/4089/9810/55082/1025/90390/3184/3192/253738/23450/25836/5763/328/3516/23451/9967/6827/55646/11168/30827/1387/23613/4691/7158/2962/55749/7528/6601/58490/22916/4904/7469/2963/6596/27316/4221/3068/26354/8841/1022/54815/7392/79718/23476/1488/4774/57215/9282/29883/86/26993/10933/8289/10432/9477/23636/2958/8896/6594/56943/5591/84844/3150/9125/23160/55127/23076/4928/10664/988/51379/80335/56257/1017/25926/5987/8148/23326/80324/79577/1487/4784/5598/6603/9181/4192/84128/1634,206,MB_vs_Glial,Up,GO_BP
