ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,93/564,294/11230,0.3163265306122449,6.298487480098423,21.169257718535054,3.0004548890806646e-50,3.1984849117599886e-47,2.469848129748505e-47,AQR/BCAS2/SMNDC1/LUC7L3/SLU7/LSM8/HNRNPA1/GTF2F2/FUS/NUP62/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/PPIL2/HNRNPD/DHX8/WTAP/ALYREF/CHERP/PRCC/CLP1/PPP1R10/PRPF18/SRSF8/SRRT/POLDIP3/UPF3B/STEEP1/RBM22/WDR70/DDX39A/TCERG1/DHX16/ZC3H11A/PRPF40A/HNRNPH1/MTREX/PAPOLA/POLR2H/SNU13/THOC5/CPSF6/THOC7/SYMPK/THOC1/RBM42/CRNKL1/CSTF2T/XAB2/NXF1/LSM7/ISY1/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/NUDT21/PQBP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/SARNP/SRSF3/SRSF2/SRSF4/PPP1R8/IK/SNW1/SRSF7/USP39/DDX42/CPSF7/PPIL4/DHX38/CDC5L/DDX23/PNN/ACIN1/WBP11/CHTOP,93
R-HSA-72163,mRNA Splicing - Major Pathway,74/564,205/11230,0.36097560975609755,7.187510811278325,20.55951689605466,1.7677372411780416e-44,9.422039495478962e-42,7.275634329480151e-42,AQR/BCAS2/SMNDC1/LUC7L3/SLU7/LSM8/HNRNPA1/GTF2F2/FUS/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/PPIL2/HNRNPD/DHX8/ALYREF/CHERP/PRCC/PRPF18/SRSF8/SRRT/UPF3B/STEEP1/RBM22/WDR70/TCERG1/DHX16/PRPF40A/HNRNPH1/MTREX/POLR2H/SNU13/RBM42/CRNKL1/XAB2/LSM7/ISY1/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/SRSF4/PPP1R8/IK/SNW1/SRSF7/USP39/DDX42/PPIL4/DHX38/CDC5L/DDX23/PNN/ACIN1/WBP11,74
R-HSA-72172,mRNA Splicing,74/564,213/11230,0.3474178403755869,6.917557353577732,20.049793595204502,4.036771454607296e-43,1.4343994568704592e-40,1.1076334307027739e-40,AQR/BCAS2/SMNDC1/LUC7L3/SLU7/LSM8/HNRNPA1/GTF2F2/FUS/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/PPIL2/HNRNPD/DHX8/ALYREF/CHERP/PRCC/PRPF18/SRSF8/SRRT/UPF3B/STEEP1/RBM22/WDR70/TCERG1/DHX16/PRPF40A/HNRNPH1/MTREX/POLR2H/SNU13/RBM42/CRNKL1/XAB2/LSM7/ISY1/RBM8A/SART1/HNRNPR/PRPF3/PPIH/HTATSF1/PQBP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/SRSF4/PPP1R8/IK/SNW1/SRSF7/USP39/DDX42/PPIL4/DHX38/CDC5L/DDX23/PNN/ACIN1/WBP11,74
R-HSA-8868773,rRNA processing in the nucleus and cytosol,68/564,194/11230,0.35051546391752575,6.979235212400379,19.317457276949508,6.487383571455671e-40,1.7288877217929362e-37,1.3350352507574564e-37,RPP40/CSNK1E/RIOK2/SENP3/NHP2/PES1/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/FBL/MTREX/NOP2/SNU13/RRP1/RPP30/EXOSC10/EXOSC9/TBL3/KRR1/EXOSC2/BYSL/BOP1/PDCD11/BMS1/WDR43/PWP2/TSR1/EXOSC6/NOL9/DHX37/FTSJ3/PELP1/WDR36/EMG1/UTP4/EXOSC8/EBNA1BP2/WDR18/NOC4L/UTP14A/GNL3/NAT10/DDX47/HEATR1/NOL11/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/PNO1/DCAF13/IMP3/RBM28/TEX10/GAR1/UTP6/DIMT1/WDR3/DIS3/DDX52/NOP58/LAS1L/UTP18/WDR75,68
R-HSA-72312,rRNA processing,69/564,211/11230,0.32701421800947866,6.511293738025612,18.583734738985324,3.0274746709183366e-38,6.454575998397894e-36,4.984179352964504e-36,RPP40/CSNK1E/RIOK2/SENP3/NHP2/PES1/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/FBL/MTREX/NOP2/SNU13/RRP1/RPP30/EXOSC10/EXOSC9/TBL3/KRR1/EXOSC2/BYSL/BOP1/PDCD11/BMS1/WDR43/PWP2/TSR1/EXOSC6/NOL9/DHX37/FTSJ3/PELP1/WDR36/EMG1/UTP4/EXOSC8/EBNA1BP2/ELAC2/WDR18/NOC4L/UTP14A/GNL3/NAT10/DDX47/HEATR1/NOL11/EXOSC4/NOP10/EXOSC3/UTP3/DDX21/PNO1/DCAF13/IMP3/RBM28/TEX10/GAR1/UTP6/DIMT1/WDR3/DIS3/DDX52/NOP58/LAS1L/UTP18/WDR75,69
R-HSA-6790901,rRNA modification in the nucleus and cytosol,39/564,61/11230,0.639344262295082,12.730205790024415,21.12383208271025,4.7564084122404056e-36,8.450552279080453e-34,6.525458558547364e-34,NHP2/MPHOSPH10/NOP56/BUD23/RRP9/DKC1/UTP20/FBL/NOP2/SNU13/TBL3/KRR1/PDCD11/BMS1/WDR43/PWP2/DHX37/WDR36/EMG1/UTP4/NOC4L/UTP14A/NAT10/DDX47/HEATR1/NOL11/NOP10/UTP3/PNO1/DCAF13/IMP3/GAR1/UTP6/DIMT1/WDR3/DDX52/NOP58/UTP18/WDR75,39
R-HSA-72187,mRNA 3'-end processing,56/564,152/11230,0.3684210526315789,7.335759611795447,18.08419194249915,2.759979234135517e-34,4.108428321414548e-32,3.172500194871311e-32,SMNDC1/SLU7/HNRNPA1/GTF2F2/FUS/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/HNRNPD/ALYREF/CHERP/CLP1/PPP1R10/SRSF8/SRRT/POLDIP3/UPF3B/DDX39A/TCERG1/ZC3H11A/PRPF40A/HNRNPH1/PAPOLA/POLR2H/THOC5/CPSF6/THOC7/SYMPK/THOC1/CSTF2T/RBM8A/HNRNPR/HTATSF1/NUDT21/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/SARNP/SRSF3/SRSF2/SRSF4/PPP1R8/SRSF7/DDX42/CPSF7/DHX38/CHTOP,56
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,61/564,184/11230,0.33152173913043476,6.601044557508479,17.615084177162988,3.08324827123043e-34,4.108428321414548e-32,3.172500194871311e-32,RPP40/CSNK1E/RIOK2/SENP3/PES1/MPHOSPH10/NOP56/BUD23/RRP9/UTP20/FBL/MTREX/SNU13/RRP1/RPP30/EXOSC10/EXOSC9/TBL3/KRR1/EXOSC2/BYSL/BOP1/PDCD11/BMS1/WDR43/PWP2/TSR1/EXOSC6/NOL9/DHX37/FTSJ3/PELP1/WDR36/EMG1/UTP4/EXOSC8/EBNA1BP2/WDR18/NOC4L/UTP14A/GNL3/DDX47/HEATR1/NOL11/EXOSC4/EXOSC3/UTP3/DDX21/PNO1/DCAF13/IMP3/RBM28/TEX10/UTP6/WDR3/DIS3/DDX52/NOP58/LAS1L/UTP18/WDR75,61
R-HSA-212165,Epigenetic regulation of gene expression,73/564,319/11230,0.22884012539184953,4.556515262678138,14.81825430419283,4.0131372600002016e-29,4.7533381324002384e-27,3.670495131368605e-27,MEN1/SMARCA5/SIN3B/NCOR1/MED24/MTA2/MBD3/RB1/UBTF/DNMT1/DEK/CBX5/SMARCA4/HCFC1/KMT2A/RBBP4/SMARCB1/CHD3/CBX3/TRIM28/CHD4/RBBP5/MED1/ATF7IP/PAXIP1/BOD1L1/ARID1B/GATAD2B/HDAC2/SMARCC1/SMARCE1/SIRT1/MCRS1/SMARCD1/EHMT2/UHRF1/SUDS3/EHMT1/BAZ1B/DNMT3A/MORC2/POLR1G/MED14/EED/TBP/MTREX/CDK7/POLR2H/WDR82/CREBBP/MYBBP1A/POLR1B/DDX21/ASH2L/SAP30BP/MED23/ARID1A/SETD1A/HDAC3/PSIP1/ERCC3/H4C1/H3-3A/DR1/MTA1/GATAD2A/SMARCC2/DPF2/SGF29/SIN3A/TBL1XR1/AKAP8L/NCOR2,73
R-HSA-9770562,mRNA Polyadenylation,43/564,127/11230,0.33858267716535434,6.741637348522924,14.96327825403502,8.58639317984175e-25,9.153095129711304e-23,7.067957333301314e-23,SMNDC1/HNRNPA1/GTF2F2/FUS/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/HNRNPD/CHERP/CLP1/PPP1R10/SRSF8/SRRT/TCERG1/PRPF40A/HNRNPH1/PAPOLA/POLR2H/CPSF6/SYMPK/CSTF2T/HNRNPR/HTATSF1/NUDT21/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/SRSF3/SRSF2/SRSF4/PPP1R8/SRSF7/DDX42/CPSF7,43
R-HSA-3247509,Chromatin modifying enzymes,60/564,271/11230,0.22140221402214022,4.4084164245897774,13.060540030818785,3.18569323672559e-23,3.087226354863162e-21,2.3839350345640302e-21,KDM1A/NCOR1/MTA2/ACTL6B/KAT7/YEATS4/BRD1/MBD3/NSD2/SMARCA4/HCFC1/KMT2A/RBBP4/SMARCB1/CHD3/CHD4/RBBP5/MSL1/ATF7IP/PBRM1/H2AC21/RIOX2/ARID1B/GATAD2B/HDAC2/SMARCC1/SMARCE1/PHF21A/MCRS1/SMARCD1/EHMT2/EP400/BRD8/SUDS3/EHMT1/DMAP1/MRGBP/RCOR1/USP22/TRRAP/DNMT3A/HAT1/EED/JMJD6/CREBBP/PRMT1/ASH2L/ARID1A/SETD1A/HDAC3/H4C1/DR1/MTA1/ARID2/KDM3B/GATAD2A/SMARCC2/SGF29/TBL1XR1/NCOR2,60
R-HSA-9918481,Dengue Virus-Host Interactions,62/564,292/11230,0.21232876712328766,4.2277518702030505,12.850851672007511,6.018505473946147e-23,5.346439029355494e-21,4.128483579496392e-21,AQR/BCAS2/SMNDC1/HNRNPA1/GTF2F2/FUS/NCBP2/POLR2G/RBM10/SRSF1/NCBP1/ELAVL2/HNRNPA0/HNRNPD/ALYREF/H2AC21/CHERP/GPC2/RTF1/PRCC/CLP1/SRRT/RBM22/DHX16/HNRNPH1/PAPOLA/POLR2H/CPSF6/PAF1/SYMPK/CRNKL1/CSTF2T/XAB2/ISY1/HNRNPR/NUDT21/PQBP1/SNRNP200/PRPF6/HNRNPL/DDX5/HNRNPA2B1/POLR2A/U2AF2/GTF2F1/RBMX/HNRNPA3/HNRNPM/SNRPE/H4C1/SRSF3/SRSF2/SRSF4/SNW1/SRSF7/DDX42/CPSF7/PPIL4/DHX38/CDC5L/DDX23/WBP11,62
R-HSA-4839726,Chromatin organization,61/564,286/11230,0.21328671328671328,4.246825869166295,12.789785920273289,1.073622227789687e-22,8.803702267875434e-21,6.798158559769518e-21,KDM1A/NCOR1/MTA2/ACTL6B/KAT7/YEATS4/BRD1/MBD3/NSD2/SMARCA4/HCFC1/KMT2A/RBBP4/SMARCB1/CHD3/CHD4/RBBP5/MSL1/ATF7IP/PBRM1/H2AC21/RIOX2/ARID1B/GATAD2B/HDAC2/SMARCC1/SMARCE1/PHF21A/MCRS1/SMARCD1/EHMT2/EP400/BRD8/SUDS3/EHMT1/DMAP1/MRGBP/RCOR1/USP22/TRRAP/DNMT3A/HAT1/EED/JMJD6/CREBBP/PRMT1/ASH2L/ARID1A/SETD1A/HDAC3/H4C1/DR1/MTA1/ARID2/KDM3B/GATAD2A/SMARCC2/DPF2/SGF29/TBL1XR1/NCOR2,61
R-HSA-73856,RNA Polymerase II Transcription Termination,29/564,67/11230,0.43283582089552236,8.6183444479729,14.381919274212887,1.3806248992608146e-20,1.0512472447228773e-18,8.117659182119979e-19,SLU7/NCBP2/SRSF1/NCBP1/ALYREF/CLP1/POLDIP3/UPF3B/DDX39A/ZC3H11A/PAPOLA/THOC5/CPSF6/THOC7/SYMPK/THOC1/CSTF2T/RBM8A/NUDT21/U2AF2/SNRPE/SARNP/SRSF3/SRSF2/SRSF4/SRSF7/CPSF7/DHX38/CHTOP,29
